"","","","2001 [2001]","2002 [2002]","2003 [2003]","2004 [2004]","2005 [2005]","2006 [2006]","2007 [2007]","2008 [2008]","2009 [2009]","2010 [2010]","2011 [2011]","2012 [2012]","2013 [2013]","2014 [2014]","2015 [2015]","2016 [2016]","2017 [2017]","2018 [2018]","2019 [2019]","2020 [2020]"
"","","","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value"
"Ireland [104]","Laying [5313]","Butter, cow milk [886]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Laying [5313]","Cattle [866]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Laying [5313]","Cheese, whole cow milk [901]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Laying [5313]","Chickens [1057]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Laying [5313]","Eggs, hen, in shell [1062]","3,579","3,579","3,675","3,691","3,954","4,133","3,710","3,710","3,745","3,800","3,900","4,000","4,000","4,200","4,300","4,500","4,700","","",""
"Ireland [104]","Laying [5313]","Meat, chicken [1058]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Laying [5313]","Milk, skimmed cow [888]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Laying [5313]","Milk, whole fresh cow [882]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Laying [5313]","Milk, whole fresh sheep [982]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Laying [5313]","Sheep [976]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Milk Animals [5318]","Butter, cow milk [886]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Milk Animals [5318]","Cattle [866]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Milk Animals [5318]","Cheese, whole cow milk [901]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Milk Animals [5318]","Chickens [1057]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Milk Animals [5318]","Eggs, hen, in shell [1062]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Milk Animals [5318]","Meat, chicken [1058]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Milk Animals [5318]","Milk, skimmed cow [888]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Milk Animals [5318]","Milk, whole fresh cow [882]","1,182,500","1,164,100","1,155,600","1,156,100","1,055,100","1,084,700","1,089,800","1,095,200","1,096,700","1,070,800","1,116,900","1,140,800","1,163,200","1,226,400","1,295,800","1,397,900","1,432,687","1,369,100","1,425,760","1,456,050"
"Ireland [104]","Milk Animals [5318]","Milk, whole fresh sheep [982]","","","","","","","","","","","","","","","","","","0","0","0"
"Ireland [104]","Milk Animals [5318]","Sheep [976]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Producing Animals/Slaughtered","Butter, cow milk [886]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Producing Animals/Slaughtered","Cattle [866]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Producing Animals/Slaughtered","Cheese, whole cow milk [901]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Producing Animals/Slaughtered","Chickens [1057]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Producing Animals/Slaughtered","Eggs, hen, in shell [1062]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Producing Animals/Slaughtered","Meat, chicken [1058]","80,000","82,000","83,000","84,000","85,000","85,000","79,000","80,000","85,000","79,500","80,000","80,900","82,000","84,360","84,283","85,411","86,116","90,059","96,247","102,796"
"Ireland [104]","Producing Animals/Slaughtered","Milk, skimmed cow [888]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Producing Animals/Slaughtered","Milk, whole fresh cow [882]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Producing Animals/Slaughtered","Milk, whole fresh sheep [982]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Producing Animals/Slaughtered","Sheep [976]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Production [5510]","Butter, cow milk [886]","139,000","147,000","140,100","136,900","143,000","139,100","141,400","123,800","120,300","135,100","145,900","145,000","152,100","166,370","187,490","198,700","223,700","237,800","250,800",""
"Ireland [104]","Production [5510]","Cattle [866]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Production [5510]","Cheese, whole cow milk [901]","122,800","115,900","111,900","118,000","118,800","136,900","140,400","174,500","162,600","171,800","179,900","185,500","182,800","188,400","207,100","205,000","259,400","269,400","278,400",""
"Ireland [104]","Production [5510]","Chickens [1057]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Production [5510]","Eggs, hen, in shell [1062]","31,350","33,231","31,863","31,863","37,500","38,100","33,800","41,200","41,600","45,000","46,000","46,500","47,000","48,000","49,450","51,750","54,050","","",""
"Ireland [104]","Production [5510]","Meat, chicken [1058]","90,000","89,000","90,000","91,000","92,000","90,000","85,000","85,450","90,000","85,000","87,000","87,459","87,046","88,100","88,776","90,454","128,170","131,940","141,000","152,140"
"Ireland [104]","Production [5510]","Milk, skimmed cow [888]","2,995,780","3,115,160","3,120,800","3,060,640","3,153,700","3,077,560","3,121,740","2,757,960","2,675,522","2,847,542","3,059,042","3,050,112","3,187,540","3,417,687","3,899,894","4,142,099","4,706,000","","",""
"Ireland [104]","Production [5510]","Milk, whole fresh cow [882]","5,381,800","5,368,000","5,310,140","5,267,880","5,061,250","5,224,390","5,224,770","5,089,960","5,228,300","5,327,000","5,536,680","5,387,770","5,583,670","5,816,220","6,585,120","6,851,430","7,478,160","7,831,250","8,244,870","8,561,470"
"Ireland [104]","Production [5510]","Milk, whole fresh sheep [982]","","","","","","","","","","","","","","","","","","0","0","0"
"Ireland [104]","Production [5510]","Sheep [976]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Stocks [5111]","Butter, cow milk [886]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Stocks [5111]","Cattle [866]","7,049,700","6,992,200","6,999,500","7,015,600","6,991,800","6,977,800","6,890,900","6,902,100","6,890,700","6,606,600","6,493,000","6,754,100","6,902,600","6,926,100","6,963,500","7,221,200","7,363,498","6,593,490","6,559,650","6,529,440"
"Ireland [104]","Stocks [5111]","Cheese, whole cow milk [901]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Stocks [5111]","Chickens [1057]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Stocks [5111]","Eggs, hen, in shell [1062]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Stocks [5111]","Meat, chicken [1058]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Stocks [5111]","Milk, skimmed cow [888]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Stocks [5111]","Milk, whole fresh cow [882]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Stocks [5111]","Milk, whole fresh sheep [982]","","","","","","","","","","","","","","","","","","","",""
"Ireland [104]","Stocks [5111]","Sheep [976]","7,330,300","7,209,600","6,848,900","6,777,200","6,392,200","5,973,200","5,521,600","5,061,400","4,778,000","4,745,400","4,830,000","5,170,000","5,007,000","5,096,800","5,138,700","5,179,200","5,197,140","3,798,480","3,809,370","3,877,220"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
